ID_Review,Platform,Wilayah,Nama_Hotel,Text_Review,Link_Gambar_1,Link_Gambar_2,Link_Gambar_3,Link_Gambar_4,Link_Gambar_5,Link_Gambar_6,Link_Gambar_7,Link_Gambar_8,Link_Gambar_9,Link_Gambar_10
1,Traveloka,Bandung,Atlantic City Hotel,"Pesan mendadak hotel di daerah Kota Bandung saat long weekend dan pada penuh, untungnya masih ada kamar tersedia di Hotel Atlantic City. Penyelamat buat istirahat, lokasi strategis, kamarnya lumayan nyaman dan langsung view-nya perkotaan, ada kids activity buat main sejenak, rooftop-nya enak angin sepoi-sepoi dan dapat welcome drink di lantai 7, walaupun buat parkirannya enggak banyak dan enggak ada kolam renangnya. Tapi overall enak 🫶🏻💕","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1777860659740_96f9dbd55b11f48a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,
2,Traveloka,Bandung,Atlantic City Hotel,"Menyenangkan menginap di Hotel Atlantic. Hotel berada di lokasi strategis dekat dengan Istana Plaza, halte transportasi umum, tempat kulineran, dan akses pejalan kaki yang memadai. Setibanya di Stasiun Bandung, saya berjalan kaki ke Hotel Atlantic kurang lebih 1 km, sambil menikmati sore hari kota Bandung dan padatnya lalu lintas sore itu. Sesampainya di hotel, saya langsung check-in menggunakan KTP dan meninggalkan deposit Rp50.000. Proses check-in mudah dan cepat. Pelayanan baik. Saya mendapatkan kamar di lantai 5 non-smoking room, walaupun kamar saya berada di lantai 5 namun suara dari jalan raya masih terdengar sangat jelas. Berarti kamar ini menurut saya kurang kedap suara. Hotel ini kurang cocok bagi Anda yang membutuhkan tempat istirahat yang tenang. Kamarnya sejuk walaupun tanpa AC. Semua fasilitas kamar berfungsi dengan baik mulai dari AC, debit air kencang, air panas untuk mandi, perlengkapan mandi. Untuk kamar bersih dan luas, sesuai dengan deskripsi. Channel TV banyak namun gambarnya kurang jelas. Saya memesan kamar include dengan sarapan, menu sarapan standar (nasi, sayur, lauk pauk, buah, bubur, sereal, roti, dan beberapa minuman dingin dan hangat). Untuk rasa makanan standar hotel.","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776481562859_252da81b6736c5c0?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776481562858_9d810e0c67013d84?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776481562858_fcddc4f248a09bd2?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776481562858_cd0eefbd79c19d1c?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776481562858_e802c2582014767d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,
3,Traveloka,Bandung,Atlantic City Hotel,"Bersih, rapi, cukup strategis dan sudah profesional banget",https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/c59ea11a-97c1-4f4b-9cf3-d800376dc1ba.0000001.jpg,,,,,,,,,
4,Traveloka,Bandung,Atlantic City Hotel,"Mantap, oke, dekat dengan semuanya, di lantai bawah ada KFC, Richess 24 jam, semuanya di depan mal, mantap.","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775562773047_16cbdbcdf59a0f66?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,
5,Traveloka,Bandung,Atlantic City Hotel,"Staff sangat ramah dan sangat membantu. Walaupun di hotel tidak disediakan setrika, tapi pihak hotel mau membantu mencarikan laundry terdekat yang bisa antar jemput.","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775452403792_16bdc819cf117ad9?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775452403792_f65228f13114a777?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775452403791_b7e9c29edce7ccc5?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775452403791_fbc0bd3ba8d97301?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,
6,Traveloka,Bandung,Atlantic City Hotel,"Staff hotel ramah-ramah semua, proses cek in dan cek out mudah dan cepat. Kamar nyaman, pemandangan di lt 6 bagus 😍 terima kasih s Atlantic City Hotel ❤️","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774443403117_3c2f40d2333870e1?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,
7,Traveloka,Bandung,Atlantic City Hotel,"Staf hotel ramah. Lokasi sebelum KFC, menyeberang ada McD di Istana Plaza. Banyak restoran dekat hotel. Kamar luas. Harga murah. Sudah berkali-kali menginap di sini.","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1773973096008_5e450b5b0a8bd17d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/e2fb1db4-38a9-427d-90a3-1ddeb89ac38d.0000001.jpg,,,,,,,,
8,Traveloka,Bandung,Atlantic City Hotel,"Staff ramah, minta hairdryer langsung dikasih. Pesen minuman dari sky lounge langsung diantar ke kamar. Untuk check-in ada deposit 50k. Dekat banget sama mal Istana Plaza dan KFC.",https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/31d56adf-dc8d-47b4-ae7e-b14d97c73205.0000001.jpg,,,,,,,,,
9,Traveloka,Bandung,Atlantic City Hotel,"staff ramah, harga murah tapi ga murahan 👍","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769136748457_5ae4faff9bc60c4a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,
10,Traveloka,Bandung,Atlantic City Hotel,Pengalaman liburan yang menyenangkan.... semua nya bagus dan menyenangkan.,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769056454186_4f0a5944ad29f294?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769056454186_919d1f6bc36dfbec?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769056454186_a5d8cebb1d1b0e7e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,
