page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,Tebak Billahi Afitaterza,4 Mei 2026,Trip Pasangan,"5,0","Pertama kali nyoba nginep disini, dapet harga 262rb, worth it banget. Lokasi nya strategis, sebelahnya ada indomaret, kamar bersih, ac kamar nya dingin, water heater berfungsi. Pertahankan..",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/04/2751dd4e-7043-4d10-98ee-8beab544a157-1777872107081-a87cbeed6bdd5192d1819db01a231a99.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/04/6ffd8a6d-f9df-4f95-9eb8-403713ace2ca-1777872107449-00f1ba9c0fa9969558ba8d4088d462d4.jpeg,,,,,,,,
1,2,FF,1 Mei 2026,Perjalanan Sendirian,"5,0","Next time kalo ke bandung balik lagi nginep disini, kamar bersih, harga murah meriah.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/01/03a5bff3-7ec8-494e-a4f0-dc3071db4e3e-1777618058238-fadad1b765e68099e47129a1cb7274bb.jpg,,,,,,,,,
1,3,FF,1 Mei 2026,Perjalanan Sendirian,"5,0","Bakal balik lagi sih ke hotel ini, seru banget hotelnya murah juga banyak jajanan disekitar hotel.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/01/1a1dd5c7-1fa7-471c-8f73-610019665352-1777617955904-94866e66e609ee74b8aeb188aa1727c0.jpg,,,,,,,,,
1,4,FF,1 Mei 2026,Perjalanan Sendirian,"5,0","Selalu senang menginap di meize city center karna lokasi sangat strategis, kamar bersih, staff ramah.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/01/2e88dce7-3423-43d3-a7ff-751519fde9ee-1777617852036-277ce4ee4c962d0fe50d57836291b616.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/05/01/7a26c77d-496e-42cc-8d3e-b2cd134a90b2-1777617852034-358308e029474401f84e166a385ea2c3.jpg,,,,,,,,
1,5,FF,21 April 2026,Perjalanan Sendirian,"5,0",Selalu senang menginap disini karna kamarnya luas dan lokasinya sangat strategis ditengah pusat kota. Sanitation is very good. Provided work desk.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/21/079754bf-244b-43d6-b22a-6d262863a8dc-1776780679374-45f1de296cc2e84bcb648b58d3191cc4.jpg,,,,,,,,,
2,1,Cahaya Ahmad Syar,29 Januari 2026,Trip Pasangan,"4,0",Kamarnya bersih dan nyaman. Terletak di kawasan wisata.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/29/b1ca8511-54d8-4881-ae23-3714a0af65cd-1769654720755-101ec2c3b931d0e28238b8939c9a10b9.jpg,,,,,,,,,
2,2,Cahaya Ahmad Syar,28 Januari 2026,Trip Pasangan,"4,0","Bagus, syg gk bs pake alat makan wkwk",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/28/d4765db6-34cc-4c52-806e-8865904d1ed3-1769566209614-131031e0d8ef169a42c547483117ec70.jpg,,,,,,,,,
2,3,Cahaya Ahmad Syar,27 Januari 2026,Trip Pasangan,"4,0",Bagus hotelnya Wort it,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/b499b193-a861-449f-95ed-0caf5f36cd56-1769476939086-86b231add28dbbfb2cf741c8686ed4b4.jpg,,,,,,,,,
2,4,Hana Silvia Siregar,6 Desember 2025,Trip bareng Teman,"4,0","Enak tempatnya, makanannya juga mantep dehhhh tapi kenapa ga bisa ada setting pilihan mau kasur queen or tween? Kenapa harus tulis di description?",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/06/41b30178-c35f-4c06-b885-e89392be5590-1765037009432-266caa3ab9dea333816f97df8b40b672.jpeg,,,,,,,,,
2,5,Basis data,12 November 2025,Trip Pasangan,"3,4",Over all oke tapi shower tolong diperbaiki karena mudah copot dan harus segera di ganti. Lain kali boleh ya kalau pinjam alat makan hehe,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/12/3f97ef13-e140-499d-9d21-d08d78194954-1762926916159-93b5924e3b5bfbfc4d66dacf8981ad7e.jpeg,,,,,,,,,
3,1,febriana putri kursillah,12 November 2025,Trip Pasangan,"5,0","Hotelnya bagus, bersih, pelayanan juga baik. Termasuk murah juga kalau untuk berdua",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/12/215782c1-50f9-4b38-a83b-3139166acb68-1762922009531-efc8555a5d8fd124c03514249a2f4da3.jpg,,,,,,,,,
3,2,Jumlah Pariwisata,16 Oktober 2025,Perjalanan Bisnis,"5,0","Kamar Bersih, Kamar mandi bersih, pertahankan .... Pelayanan mantap Parkiran muddah",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/10/16/309926fe-0c55-429e-bbc7-a4fa4b4a0730-1760609970288-ea1f44ca334307a392362ca13f65ce4a.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/10/16/326dc00d-5b78-40fc-8c10-510c62bcc00d-1760609974920-efc37823f20ecf66928976f0db965905.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/10/16/0a3ca714-3273-43bd-a4a3-686d4bbbda18-1760609979603-7ca62188659b7fcdaef628a84daa817e.jpg,,,,,,,
