page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,Naomi Chintia,8 April 2026,Trip Keluarga,"5,0","Sayang bgt budget hotel 500rb tapi bukan smart TV 😭 But overall okay, makanan juga enak bingit. Thankyou Santika ❤",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/08/609fd685-a5ca-49f1-a5fe-ead50ca3f108-1775590666117-a1cb99a7ec2203dab60dbcd6a2408f19.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/08/1f3219f7-f0cd-47fa-aff6-ffb82c47e32e-1775590666258-dafa44cb3cac7b3bfbfc901bfe7c75be.jpg,,,,,,,,
1,2,Anggun Nurdiani,2 April 2026,Trip Keluarga,"5,0","Staf ramah semua,AC kurang dingin",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/02/19171a25-e2a3-4470-b65a-2c27586f83b1-1775135393085-775d0513e953376d24bba0bf49faa974.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/02/beb1ae21-5e92-42ce-b8b8-d5b082adb1f5-1775135391527-37ac19ba8c4ef48c68503acfa983b754.jpg,,,,,,,,
1,3,Hamid Roziko,2 Maret 2026,Trip Keluarga,"5,0",Room nya nyaman buat stay dengan keluarga,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/02/c3b698a2-04fe-447d-bce3-3d64445314e3-1772442259271-b405f4f36c499203c2d06790700c2c63.jpg,,,,,,,,,
1,4,Azhari Ahmad Annaz,30 Desember 2025,Trip Keluarga,"5,0",Hotel ini untuk Kamar Family Room nya Bagus bgt harga terjangkau fasilitas bagus sarapan pagi juga enak menu restoran nya kami nyaman di Santika Hotel Terima kasih santika 😃,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/12/30/2df8905c-8a41-41c2-a79a-1f65410a04b0-1767094643221-832c0f66726f045a5289ee3463e56295.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/30/5defc905-0a77-4706-9876-b016fe9f678d-1767094643395-b227e4f8fca3ba3410c1c1d684c96328.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/30/d82b0665-353d-48e3-ae5c-fe2466a27be8-1767094643868-915891b269599e4475d60ef08b55ea85.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/12/30/5bdeae7f-7cf7-4de2-8a03-69db97f1484e-1767094646876-2b5259368675fde10fab410230e77d41.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/12/30/3bff1cda-53a0-442f-9f27-72f6ca57052b-1767094647498-e7f9c46d313895b9e5ae781121d820cd.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/30/e471a323-4dcc-44ff-b479-0eca23d0b0a1-1767094643797-0c8d2a49816a8078685b4dbdf8b83ea0.jpg,,,,
1,5,RM,24 November 2025,Trip Keluarga,"5,0",Delicious menu. The parking area is well maintained. Generous pricing. Beautiful minimalist interior. Mesin kopi di kamar bagus dan sangat membantu,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/24/66f7caad-a945-4fe6-9157-20d3df2e18a5-1763995052358-7aad9da1c350aaef408891ae0633f53e.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/24/42f53332-d7a6-4332-ab22-325bcdf4ba9b-1763995051410-da24c8c97631b2f32f305ee1405b9278.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/24/75860b47-0388-49e2-8e6c-012a59d410c8-1763995051865-33f2e364e433231e754fbb15d44969aa.jpeg,,,,,,,
2,1,PG,17 Agustus 2025,Trip Keluarga,"4,0",Ramah dan bersahabat. Layanan kebersihan cepat. Banyak pilihan makanan sehat.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/17/8642d046-c5d1-4abd-8b4c-af5004d927bd-1755372574654-837b98670f1575adba1e62bb5ac3511c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/17/e294216e-e8cb-4c09-b222-ab50322bc82b-1755372577014-e6f9580aa10cd5deb2bcfb00c569074e.jpeg,,,,,,,,
2,2,Anindyah Prastiti,8 Agustus 2025,Perjalanan Sendirian,"5,0","Hotel bersih, pelayanan ramah, minusnya lokasinya ada di lantai 5 mall, agak membingungkan ketika keluar hotel di jam mall tutup",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/08/0b8a3472-a5a0-4168-b811-e8a88da00627-1754638811196-1740f789f365e29e762bd1f2a70afc30.jpg,,,,,,,,,
2,3,DAN,27 April 2025,Trip Pasangan,"5,0",Kebersihannya tak tertandingi. Layanan pramutamu profesional. Kolam renang yang sangat bersih.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/04/27/f3b05b3a-a0f9-4467-9691-ed04e70330fe-1745767714417-395b4ae6ed2f33c4c35c0b97b54995a8.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/04/27/9eececb6-d957-4c7d-96f2-302ce0de1d3a-1745767714590-fdbca1de7d49482d083079b6f2c8290e.jpg,,,,,,,,
2,4,AI,20 April 2025,Trip Keluarga,"4,4","Hotel ini sangat nyaman dan menyenangkan untuk menginap. Pelayanannya bagus, stafnya ramah, dan sarapannya lumayan... semuanya baik-baik saja.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/20/99d5920e-aa82-4aeb-a288-e0d70192ee78-1745087542203-c13e323fc70c1bef0f961593f4036789.jpg,,,,,,,,,
2,5,sari novianti,2 Maret 2025,Trip Keluarga,"5,0",Keren sih next kesini lagi pasti,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/03/02/36ba7f09-dbf8-4340-b7f3-c4e631175170-1740890412898-4b09ec174637a823ac785de51ba24738.jpg,,,,,,,,,
3,1,Letnan,18 Februari 2025,Trip Pasangan,"4,0","Kebersihan terbaik. Kamar bersih dan sangat terawat. Parkir ramah lingkungan. Penawaran super. Sangat rekomen, staffny sangat ramah, terhubung dengan mall juga❤ Kamar bersih dan sangat terawat.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/02/18/a3624fad-372f-4654-a12d-43802921114a-1739853367258-0502d90e20baa8d93f9be6c859b070ab.jpg,,,,,,,,,
3,2,Pengampunan Luar Biasa dari Tuhan,30 Januari 2025,Trip Keluarga,"5,0","Cozy tempatnya, pegawainya ramah, so happy liburan di Santika",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/30/0c773b8f-a2c9-4681-9774-8fb13f3164f0-1738198571582-1a9be4fb3fc30a8c6c12a78fd269195d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/30/cf9242f3-7883-463e-a584-4db5982c04d7-1738198572504-67ac45f51b588147bc0ef25ca148a397.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/30/0941d9d6-9f3b-43b8-b762-bfcb5b72359f-1738198570692-cd7fdeede6307062b1e5c72334f9f956.jpeg,,,,,,,
3,3,Ratna Kusuma Ningsih,2 Januari 2025,Trip Keluarga,"3,8","💞Untuk kebersihan ok dong 💞Untuk pelayanannya sangat ok banget, terutama mas resepsionis nya sangat ramah dan membantu lupa saya siapa namanya, untuk mas nya terimakasih semoga sehat selalu🙏 💞lokasi strategis 💞untuk fasilitas nya ini yang kurang, nggak sesuai sama yang di options tiket. Com 🔰Setrika, jubah mandi tidak ada 💞Untuk harga masih wajar wajar saja karena memang momen tahun baru pasti ada kenaikan hargaLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/02/70f8bcea-e2a8-4b7a-adad-66d45eb86d45-1735825480837-9f39ed4070c4a856bba4e19bf2f13687.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/02/5a80b319-383a-479e-b3df-dadea4f9c5a6-1735825480958-4509685f9ed2a7a5fdb4e77899332a73.jpg,,,,,,,,
3,4,Indah Rahayu,25 Desember 2024,Trip Pasangan,"4,0","Kamarnya bersih bagus, top deh stafnya juga ramah2",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/12/25/6c3e10f5-3007-4a7e-9f1b-825037886384-1735072666487-c0235f64115b327abdd7f739dbbe0f2a.jpg,,,,,,,,,
3,5,Erna Wati,25 November 2024,Trip bareng Teman,"5,0","Makanan enak, ruangan nyaman",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/25/5cec01f7-d0af-476a-9e2d-d7f856e53e76-1732527329007-b48d85f621a605f4f0c83debc95dcf87.jpg,,,,,,,,,
