page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,Muhammad Rahman,6 April 2026,Perjalanan Sendirian,"4,6",persis di seberang pakuwon malll. Lokasi stategis.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/06/bb904cf9-63ac-40d0-bfed-919789813053-1775425470385-2be0e8aed60995813d8a6001e757f873.jpg,,,,,,,,,
1,2,Ari Cahya Ramadhani,22 Januari 2026,Trip Keluarga,"5,0","Mantap, room nya bersih, pelayanan sangat bagus. Strategis. Close to parks. Very spacious parking area. Happy pool atmosphere. Outstanding deals. Professional and warm receptionist.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/22/7f2d82f1-33c4-4367-b59a-d962491759bd-1769052333078-5d35a5f5d2bccae5bd0069ace57d279c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/22/658d9a71-7c74-4d96-8600-2d5b27bf3c53-1769052332898-87509835118ee0a1626d671a12f78d98.jpeg,,,,,,,,
1,3,NC,4 Januari 2026,Trip Keluarga,"4,2","Over all sdh oke, kebetulan dapat view arah ke mall pakuwon. masukan : utk handuk perlu diganti karena sdh tdk layak & tisu di kamar tdk ada",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/04/11be3364-24b3-497b-8389-54dbf45072d1-1767498889740-f2270328b9f7a202ad48cfce4e2d74f3.jpeg,,,,,,,,,
1,4,pada,14 November 2025,Trip Keluarga,"5,0","Pelayanan bagus, lokasi strategis dekat dengan mall. Charming room.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/14/7bd44902-1eae-48fa-acd9-ca2098d18232-1763086280748-d9d29ac2dd0d639ccfc61d116666b447.jpg,,,,,,,,,
1,5,Tahun-tahun Roelwaqi,1 Maret 2025,Trip Keluarga,"5,0",Bagus dan menyenangkan Tersedia ruang kerja pribadi.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/03/01/63045d8e-cb05-4305-ba0b-b94ad4149d19-1740791092011-820bb02a5a82045063b4412c44832d31.jpg,,,,,,,,,
2,1,Hanna Carolina,22 Desember 2024,Trip Keluarga,"5,0",Bagus cuma air di kamar mandi klo Kita mandi air nya kluar ke toilet kering nya & menggenang. Selebihnya ok semua,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2024/12/22/82cce424-6174-4446-ad75-1efc1bf22577-1734875184667-b75c351b75fe1c122bc78717627355a3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/12/22/3e807c06-47cd-481c-b3f9-c460f9dbb337-1734875197394-850ac366f7b2f4a7fbe69471d41d4074.jpg,,,,,,,,
2,2,SW,5 Januari 2024,Trip Keluarga,"5,0","gak ekpektasi bakalan dapet hotel murah tapi bagus di bekasi.. ! JUJUR meskipun basement sepi dan di kawasan apartemen, tpi ini HOTEL BENER BENER BAGUS! WORTHIT DENGAN HARGA SEGITU KAMAR BERSIH, WANGI, AIR HANGAT BERFUNGSI, HANDUK BERSIH, SARAPAN SEDIKIT TQPI VARIASI DAN ENAK, KEMARIN NGINEP DAPET BUBUR SUMSUM, BUBUR AYAM, SALAD BAR, BUAH POTONG, JELLY, SEREAL, ROTI, NASI GORENG, NASI PUTIH, BIHUN GORENG, AYAM, SAYUR, ACAR DAN PERSAMBELAN YG KOMPLIT, SATU LAGI YANG BIKIM SUKAA OMLET YY TEBEEEEEEL WAJIB BALIK LAGI SIH !!!Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/01/05/00584fe7-80f5-4fef-85eb-c64b4c03d6d7-1704413875086-2e6f26fc21125ee60045cf6b0ab0f71b.jpg,,,,,,,,,
2,3,Saya Safarazg,27 Desember 2023,Trip Keluarga,"4,6",Hotel murah bagus recoment lah ..cmn handuk nya kok sobek sobek yg satu,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/27/ab47e1b1-5d6f-4f03-92fb-3355aae3b907-1703680311674-71135999fd957132384d056e2a365bf5.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/27/d8792ebc-0ad3-4cbf-b2cf-6c66e44d9e27-1703680316411-bcf04eb8aba8072f439ad579a35ca82d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/27/f1e8dbfb-e998-4acd-9638-366ac95d37c9-1703680314694-a28b30253e631667b38e865f4fb293fe.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/27/523f774b-a6e3-4746-b3ee-23fb8eff716b-1703680317232-e73191fd1321915839b6d52fcd5d44e1.jpg,,,,,,
2,4,Miftahul Azhar Mijwan,11 Desember 2023,,"4,4",Dengan bintang 🌟🌟🌟 dari segi kamar ok aja. Tapi suara outdoor ac kamar sebelahh terlalu berisik. Kurang minibar coffee,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/12/11/1504a662-8a14-4a81-b9ff-1820224c2a05-1702270669766-15346ae10c86be14b1b0ac188bf82da5.jpg,,,,,,,,,
2,5,MH,8 November 2023,Trip Pasangan,"3,6",Lumayan murah bagus tempat enak cuman dekat apartement serem,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/08/0762b5be-a61e-4ed0-aa88-c9f0afeab826-1699440586652-272931a366aa641bbcff641fc79ec928.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/11/08/c5b49611-4aca-4330-a9e6-6de0e6198d7a-1699440579720-589aad3c18f62a3e8935a671ea93e44e.jpeg,,,,,,,,
3,1,SL,8 Juli 2023,Perjalanan Sendirian,"4,0","Nyaman , staff ramah , cuma tolong buat lantai kamar mandinya disikat biar gak licin & biar gak bahayain tamu !!",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/07/08/54be768f-1919-4593-829c-a5a27b3c2f7c-1688766692804-882132d3e9dfbf3d98a3ecab3db37255.jpg,,,,,,,,,
3,2,RF,24 April 2023,Perjalanan Sendirian,"4,0","Pelayanannya bagus, staffnya ramah2 dan gercep. Fasilitasnya standar ya sesuai harga lah. Gak ada kettle listrik seperti di deskripsi di aplikasi tapi untungnya ada dispenser di setiap lantai. Pesen disini sebenernya supaya keponakan bisa berenang, tapi ternyata kolam renangnya udah ga bisa dipake. Harusnya di aplikasi travel mulai di hapus fasilitas kolam renangnya. Selebihnya udah oke lah untuk harga segitu. AC dingin, seprai bersih, wifi lancar. Oiya saran aja sih makanannya lebih variatif. Karena lauk proteinnya cuma 1 antara ayam/ikan. Mungkin bisa 2 menu nasi, 1 sayuran, 2 protein.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/04/24/fc833277-0d1f-4dab-822e-bb5057fc4788-1682344926542-55218ebd38da77d89e7cf3956cac75bc.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/04/24/07181564-1d92-46d8-85ba-0078e7e8aaee-1682344926586-36b29364292c01b6f9303506ec97412c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/04/24/ec2bda40-dda8-4b93-b3b6-4cbd93593c1d-1682344925213-15a84361f2fc26d0cb072237c9ab4302.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/04/24/088af874-b096-44e0-9ec8-e94ea74bed39-1682345013110-1d078d70144b0815de8fa89bdefec755.jpeg,,,,,,
3,3,NURDIANA ELYA DINAR,17 Februari 2023,,"5,0","Sangat oke,bersih.. Tetapi tidak ada kulkas",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2023/02/17/b2d995a9-4c38-4c99-84f4-f40f7692e651-1676650982881-303b5e3a7f447fd8dc199d65dcd63868.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/02/17/adf92414-8f2a-4575-af36-565f905390f5-1676651007189-0391d2f785a72a9f04351323b6c0b1c7.jpg,,,,,,,,
3,4,LTD,14 Januari 2023,,"5,0",selalu betah klo dsnii staff ramah makanan jg enak enak thanks yaa,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2023/01/14/c938e541-f471-4ff6-80ea-4315f12dca18-1673661752188-3c5fb91c62ca66177cf4614456de891c.jpg,,,,,,,,,
3,5,LTD,10 Desember 2022,,"5,0","nyaman bgt klo udh dsni ga mau pulang,, makanan resto nya jg enak2 murah lg.. tetap d pertahan kan yaa qualitas & harga nya..",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2022/12/10/01183370-275b-4b25-ba1d-839ac3401759-1670648616259-67af21b45d96ecca668eea4410b0ab8e.jpg,,,,,,,,,
4,1,NN,3 Desember 2022,Trip bareng Teman,"4,2","Cari hotel dekat tempat acara pernikahan teman dan Yusra Inn berjarak tidak lebih dari 2 km. Awalnya bingung ketika parkir karena tulisan keterangan cukup minim, namun selain itu cukup terbantu dengan lift yg cepat, proses check in yg cepat, kamar yg bersih, semua fasilitas berfungsi, serta kemudahan akses dari dan menuju jalan tol. Di kelas harga ini menurut saya sudah lebih dari cukup, kalau kedepannya ada keperluan di Bekasi mungkin akan pilih Yusra Inn lagi.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/12/03/54f27d8d-45e8-4d09-a469-52f9b86e0bc3-1670020069137-3d943381f145ff437abe30a585af593c.jpg,,,,,,,,,
4,2,Adriani Krisantiana Djadi,17 November 2022,,"4,8","Semua oke kecuali kamar mandi. Kamar mandinya bersih, cuman area lantai showernya licin banget!. Bahaya utk orang tua & anak2. Kontur lantainya terlalu landai, jadi air menggenang di area mandi. Sy nginap di kamar 803.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/17/0760ed84-bdf0-4e95-805e-1422a586c9a8-1668654557616-1f8661f469b74783599e6316556b5575.jpg,,,,,,,,,
4,3,LTD,10 November 2022,Perjalanan Sendirian,"5,0",ac dingin staff ramah..tp kmar mandi licin bgt mhon agar d perhatikan lg ya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/10/92a4dc84-abcf-42da-9253-d63a078c0b08-1668067097394-d8d9794c145bff30cb06a62e9f8b7781.jpg,,,,,,,,,
4,4,LTD,5 November 2022,Perjalanan Sendirian,"5,0","Stafnya ramah dan nyaman... selalu ada di sini jika Anda berada di Bekasi, terima kasih Yusra...",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/05/911eedfa-36e8-42e4-be6a-3555b1f89fa7-1667602833990-9969aebc1978dcc00372b4cce1586788.jpg,,,,,,,,,
4,5,DAN,4 November 2022,Perjalanan Sendirian,"4,8",oke bagus harga sangat sesuai dengan staff yg ramah sarapan nya juga oke 👍🏻👍🏻 ke 2 x stay di Yurra In Pekayon,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/11/04/cc73f0e3-4e5c-4eb8-90de-fece2f42b11a-1667539585804-c35242d975baefeef02c4331cb72d7b1.jpg,,,,,,,,,
5,1,Desiska vianti,21 September 2022,Trip Keluarga,"5,0",,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/81605b6a-4874-459c-a1fa-a80b1a5ba24c-1663761355001-4ae8f0fc58c00d8422cf6aba44fd26ad.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/10a93c40-ab95-44a7-9fb9-b4a258e7578b-1663761355383-62e4215c52daa7e1e1dcef224433bf8d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/b5845461-44d4-4a1c-9116-557faee7b9ac-1663761355646-933869192f96a8b12dcb46cd8c4bb7e3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/04a9a1c9-c79a-4ac5-b73d-221f083d54c2-1663761356053-77a7273c72a38a39a76038dbe133e0d6.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/35d5e1d9-8a8e-4268-8866-6bbbd0bbf63e-1663761356430-8814b7d804e18dadb2eb9fb63fc8d7dc.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/621b981e-e3c6-4bf5-b73c-a42dcb436dd9-1663761356749-6fccc7969456510c828df344399dc6eb.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/2d75ad00-e26a-4aed-a893-fc8266cdabf1-1663761357007-4290e3fcc55e579deb7d2a1cadbef596.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/53d43a8f-80b7-4a79-b82f-2a43b5617d5c-1663761357302-9268ff425274cbce5c57d2d0c5302c5a.jpg,,
5,2,Desiska vianti,21 September 2022,Trip Keluarga,"5,0",Sdh ke 2x nya sy menginap di yusra inn.tmptnya tenang.nyaman.kamarnya bersih.makanannya enak.stafnya smuanya ramah.pelayanannya cepat.dengan harga yg relatif murah.terimakasih tiket.com & yusra inn hotel.😉🙏Lihat lebih sedikit,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/f945915a-2742-4320-bcb5-428e90a63864-1663761143999-d357a97cc963c59daea5a82e04876dab.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/83164bd8-a190-4e4d-b0df-5684a23f4ba0-1663761144449-410703b19e308e717d066b8ac54cf6a3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/a0129275-7958-48a3-96fd-31244e823da2-1663761148639-e09bec07adb8430503a9422b285c255a.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/46a3a450-c31d-4f18-a6e9-46d18d79ceb7-1663761149124-1f628994259299fc94e28ab03f3967ba.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/45873b88-5974-4e91-96e2-95d3a6e76ff9-1663761149624-95721f2a0d5303af8798f3fadb6edf4b.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/c24eea5f-e59f-4ffa-a01a-57e6b95c458c-1663761149967-51643ae20f9c7cc059f526bc78d684b1.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/793d1e45-408a-429a-be6b-79d43ac5eddc-1663761151184-d3b5de68b25c486dae0499f1eb83c2d5.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/09/21/653c3310-c1d5-46ff-ba8c-dbdb8d2049be-1663761152140-8cd304996c750661a4fc4abdc31a8cef.jpg,,
5,3,Ola Yuliawati,30 Agustus 2022,,"5,0","selalu staycation dsni klo ke bekasi.. nyaman bgt privasi terjaga krna lift pakai akses, ac dingin bgt.. room bersih sekali sayang showercap nya ga ada huhuu..",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/review/2022/08/30/cd197474-f5b4-4510-b661-428794ae54f8-1661872988638-1c689f96c0301f17816ec6d73e202213.jpg,,,,,,,,,
