page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,DZ,20 April 2026,Trip Pasangan,"5,0",Overall semua ok pelayanan dan breakfastnya juga banyak variasi apalagi yang paling disuka ada indomie corner best banget sih,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/20/8cd37cf6-132a-4586-891c-2f8ecab950ba-1776698806552-c2d74c7c10e911b3b33d60fa44ff0012.jpeg,,,,,,,,,
1,2,WS,27 Maret 2026,Trip Keluarga,"5,0","Udh kesekian kalinya nginep disavero,, hotelny bersih semua fasilitasny berfungsi baik..",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/03/27/50ea8764-55ba-4969-a2ee-d98879f54357-1774578355987-bf1385bc3ca49c221a233404172ee4e2.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/27/7c2b51eb-1e5f-4f46-a90c-c1a7c4e796ec-1774578355850-0b4d97de73cea18f6075cf5005dbbfff.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/27/8296680c-39a5-4ea4-b12a-26032703e73f-1774578351221-e60ad9f30c8e514a2e5cc9a13f6808c2.jpg,,,,,,,
1,3,Erie Meilany,17 November 2025,Trip Pasangan,"4,0","Overall kamarnya nyaman, cuma satu tingkatin kebersihannya, pas co saya sudah sampaikan lgs ke bagian front office, dan menu breakfast lumayan",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/17/476f2abf-1585-4623-85e9-dab4280e05c1-1763378690931-8e24423713d9deeaf359dad84dd2eaa3.jpeg,,,,,,,,,
1,4,ITU,22 September 2025,Trip Pasangan,"5,0","Thank you savero, benar-benar memuaskan banget service nya. Dari awal sudah disambut resepsionis yg ramah dan helpful untuk give information. Sampai ke room hotel juga everything is good and all clear ya. Breakfast lumayan bervariasi tapi bisa ditambah lagi mungkin ya, lucu juga ada stall indomie hihi. Thank you saveroLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/22/6bc28238-f748-4ad7-92b1-e63f991066f7-1758557458935-d06b0bd67e0c2dfc5a474a7264079529.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/22/7ca42c1f-beb2-44d4-90c4-4b623a0d4b0c-1758557460658-6cc9596b8a9d72cf4c552c05f11197f7.jpg,,,,,,,,
1,5,YS,10 September 2025,Perjalanan Sendirian,"3,6","Seneng banget, sebelumnya pernah nulis review tentang complimentary utk tamu yg menginap di type kamar suite, akhirnya Savero baca dan memperhatikan saran dari tamu. Pas kemarin check in ternyata disediakan buah potong sebagai complimentary nya. Tapi saya punya keluhan lagi nih, Savero. Yang ini harus dibaca karena penting puolll. Saya stay di kamar suite minta kamar yang nonsmoking room, itu di kamar 610. Tolong banget itu keran buat bath up nya kecil banget, setengah - 1 jam gak keisi full. Akhirnya karena kelamaan nunggu, saya inisiatif cuci tong sampah kamar mandi dan saya alih fungsikan layaknya ember, saya tampung air dari shower room, buka keran yg utk wudhu utk isi bathup utk berendam (mubazir kata ""untuk"" Mon maap 😅) bukan cuma masalah air keran di bathup yang kecil, ternyata air yang saya tampung dari shower roomnya pun warnanya COKLAT. 1 kali sebelumnya saya menginap di kamar suite ini saya juga nemuin masalah yang sama, yaitu air keran di bath up itu kecil banget keluarnya. Cuma seingat saya, saya gak tulis as a review di kolom komentar ini. Saya cukup sering menginap di Savero dan pesan kamar type suite, namun selalu kedapatan kamar yang smoking room, selama itu juga saya tidak menemukan masalah keran bathup yang keluarnya kecil dan air yang coklat ini, namun semenjak saya request kamar non smoking room 2 kali terakhir ini, saya selalu mendapati keran bathup yang keluarnya kecil, terlebih yg terakhir ini air yang berwarna coklat. Mohon diperhatikan lagi ya Savero, saya sebagai tamu saya keluarkan uang lebih berharap fasilitas kamar yang terbaik, niat hati ingin melepas lelah dengan berendam santai dan menikmati interior kamar yang indah. Kalau fasilitas penting ini tidak bekerja dengan baik, bukankah apa yang saya bayar tidak ada artinya? Semoga saat saya kembali menginap di Savero hal ini sudah diperbaiki dan diselesaikan dengan baik.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/10/9af0c225-4cfe-420f-adf4-2f1620aa7c5b-1757489732900-9b74f9e36b7eb500ad761cf94a1a3e9c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/10/c6959ca3-f999-436a-b049-c0db6c4117ab-1757489727989-8372a1b757739a4923b11ece3bcf84a6.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/10/b02d4415-43ab-4e29-a034-3a3d487ef8d4-1757489724253-ac4ecea420d9178cca72200cc9dc15f6.jpg,,,,,,,
2,1,DN,5 September 2025,Perjalanan Sendirian,"5,0",Ruang keluarga yang luas. Sanitasi terbaik. Kolam renang anak yang aman. Relaksasi kolam renang yang maksimal.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/05/3b7a10f9-2cd3-49ed-beff-9f8acd58b73c-1757043562482-f0483b36e84b8335b343c99c26ea859d.jpg,,,,,,,,,
2,2,firda hanifa,14 Juli 2025,Trip Keluarga,"5,0","recommended! semua staff ramah, ruangan bersih rapi dingin nyaman dan luas. parkir aman. lokasi hotel strategis, dipinggir jalan dan gampang dicari. pesan 2 kamar dgn tipe berbeda dan semuanya aesthetic! super aesthetic savero hotel ini. thankyou untuk pengalaman yg baik iniLihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/8021da54-ad10-439a-853c-6cb0b07c2ae6-1752477960363-2807a1046b4703cf883e251da9766bfa.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/515a8881-ab40-4909-8c4f-45107bd50241-1752477964094-6a07ed63e8ef032f3332015eff4a2b0c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/8409e73b-585a-431d-ae6c-e737f6b252e1-1752477954508-b8e1bc855ceb176a2c545cfc6de880b3.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/2e901b31-c604-44fe-8601-0849a39cfc45-1752477964232-66d73fc520d2fa65937a31dae1607f90.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/a5a2fa57-f417-44dd-80c0-a41aca81ea3a-1752477963914-3fa1893158084f1a4950910ca6542ccb.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/112700db-3ed0-45ff-8752-d592c8538af4-1752477957028-f723e7ce14a31c6b0c2798ca39e9e650.jpeg,,,,
2,3,Firda Hanifa,14 Juli 2025,Trip Keluarga,"5,0","recommended! semua staff ramah, ruangan bersih rapi dingin nyaman dan luas. parkir aman. lokasi hotel strategis, dipinggir jalan dan gampang dicari",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/1c715fc8-a867-4e4f-8d2c-5a6419476b38-1752477811179-8f8103b1ce3a4c2366bfcc30812e1a8c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/dc49ce5a-09fc-4e16-a0b8-cbd272d84299-1752477813185-f6842f65c3c26b2415c2d73fcd9dd97c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/4e784052-70b7-47e2-989b-28cbf84ff8ec-1752477805249-8a4f413c754b06af60052ac2aaf308c6.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/8ec4a4cf-355f-4203-86cd-c0467d40c7b5-1752477811009-391fe52681947e668599acd8d5c9e093.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/d6b8486a-0ba0-4fa2-9d57-f2a07ac19369-1752477814635-441f6a105860df3a64a230eb9a235e1f.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/55c17e76-fbf0-4dd4-81ed-443bdc50cbf2-1752477814405-86d866f0bc2533abd06c6cd8eebd84e9.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/14/90495aaa-1a29-40e8-b7d8-5c26feaf3322-1752477813916-60cb00e2c37b07d4f0930f0cded9cebb.jpeg,,,
2,4,Indriyani Syahria,27 Juni 2025,Trip Pasangan,"4,8","Seru sih, pelayanan cepat tanpa nunggu langsung bisa akses ke kamar",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/27/c0189d40-501e-4cd5-bd38-a7ec0196132c-1750997283765-4fef3ccbc74d1014a28755bcdf58d874.jpeg,,,,,,,,,
2,5,DN,17 Juni 2025,Perjalanan Sendirian,"5,0","Pemandangan menakjubkan. Fasilitas parkir super nyaman. Akomodasi hemat, sensasi mewah.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/17/7031fdda-cd83-4f99-adbd-b7b52d6b8fcd-1750163400045-30d339bf1d9099619a9569b8c4ae243d.jpg,,,,,,,,,
