page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,lestary yang cantik,27 April 2026,Trip Keluarga,"5,0",Tempatnya nyaman dan untuk sarapannya mantap banyak pilihannya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/04/27/461b3a56-9a84-4f02-9404-6d8b7534ab6b-1777303354139-668850744e82a96c6ab4e9a2c6dcdd97.jpg,,,,,,,,,
1,2,muhammad naufal aditya,16 April 2026,Trip Pasangan,"5,0","Mantap sih , rekomend",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/16/23f8e78f-975e-4d89-ae68-49a74a8f1edc-1776299957628-73a84e6d5cc96e888ce321f8e4d46fa1.jpg,,,,,,,,,
1,3,Diah Puspitasari,12 April 2026,Trip Keluarga,"5,0",Pemandangannya luar biasa.. tp klo mau dpt view yg lebih bagus LG dari balkon kamar pilih yg tipe eksekutif dan kamar nomor besar 311 dst nya..kamar sy 308 masih kehalang slide. Tp klo dr kolam renang...Selengkapnya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/04/12/0aad0f49-ca1d-4ccf-8a56-d95e632d771a-1775956485269-306abf23c4df4ec841ed2f7fceab5f9f.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/12/13ba2861-1d11-4a74-8d90-e662bedb5966-1775956486301-2b3be3f7fc44bea02d33962957f00217.jpg,,,,,,,,
1,4,TM,7 April 2026,Trip Keluarga,"4,2","Bagus banget,cocok untuk anak yg mau berenang. Untuk sarapan kalo lagi rame ga kebagian tempat,semoga nnti bisa d perluas lagi tempat sarapan nya.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/07/dea53109-7aa6-4ff9-95d7-a65341b5ea22-1775573990293-df02e73c7712cc138de584037dae106c.jpeg,,,,,,,,,
1,5,Andrea Phuruhita,4 Februari 2026,Trip Keluarga,"5,0","Bagus, udah 2 kali nginep",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/02/04/ee6c29bc-184d-4bda-b284-45b38883eaab-1770186984848-87ff9623def192bd8089e0b719b2acc6.jpg,,,,,,,,,
2,1,DM,27 Januari 2026,Trip Keluarga,"2,4","Tolong banget ditingkatkan kebersihannya, sekedar gosok shower/keran kayanya gasusah udh banyak pembersih dijual jg duh sampe merinding liatnya sekotor itu. Kulkasnya pun kaya ga pernah di bersihin ba...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/e6d8a56e-c20b-48d1-97c8-99f9c7fa5f08-1769476328519-41a82b0863e5dcc138d43df3c8c56907.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/e7bcbfa5-0fa2-4152-bda3-c747d7b247e6-1769476336106-f0be0ffccba10bf4f4b4e664ae7f1647.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/366416a8-9130-4692-8e33-7d5e4810e5c3-1769476345520-fb651ea870f38a4d8d6ce93980bf6bda.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/e6f520b9-6d43-4e14-93b4-07987ef92098-1769476345537-ea7db0014315584d8afb87d07ec14a45.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/ae151a9f-c00b-4a79-996b-5c7922dbb596-1769476228643-796d86b260aec5aed92e2da2a62a6c93.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/27/422e912a-3486-4111-bb0f-7d6ab7454989-1769476227576-183663a0cc0dda1be9bfe8f7b1b26d68.jpeg,,,,
2,2,AKU,11 Januari 2026,Trip Keluarga,"4,0",kamar mandi bisa di improve. tempat air panas nya belum berfungsi mungkin habis dibersihkan awal tahun,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/11/176db097-e12f-46c2-b204-6b46c1242941-1768098766269-ed8ecef52ab1f50f6ddd4a085ce42f09.jpg,,,,,,,,,
2,3,anna apriani,8 Januari 2026,Trip Keluarga,"5,0",Family hotel yg kece banget buat liburan babreng keluarga,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/08/bba01098-df22-47e1-a93f-24354d3d6c3c-1767884347082-a78a747a701a8124c5237bc7238c7919.jpg,,,,,,,,,
2,4,PP,2 Januari 2026,Trip Keluarga,"2,8","Kesan pertama datang ke hotel pelayanannya lumayan bagus, proses check in cepat, barang2 dibantu dibawakan sampai ke kamar. Tapi kelihatan sekali kalau kebersihannya kurang. Di lorong kamar kelihatan ...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/02/615cb042-066e-4182-b9ae-2235adb907ce-1767308627467-e78229bd87334a0a20b55760a1819c55.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/02/335de079-8a50-4fd5-b8d7-44d7b77ce06d-1767308629052-d5c5e7b712786b6fd7b342377ca81e9a.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/02/701fced0-28cc-4492-b4b1-d6d0e1698359-1767308628975-7a173406d2d1b9c13b43e39c67edd53b.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/01/02/3109e1bb-b609-473a-b492-61889bcdab0e-1767308628742-fd00b7a9a554411a21e5b43ddbd7e99b.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/02/77bf3940-fe5b-4e70-ac3f-fb517e3dcce3-1767308628290-39e5fdc57b362a42235220026f53cacc.jpg,,,,,
2,5,PL,18 Desember 2025,Trip Keluarga,"4,2","Pelayanan bagus, kamar dapet yang pintunya minus tapi selebihnya oke, sarapan breakfastnya rasanya enak sambil menikmati view👍🏻👍🏻",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/18/c9390030-78ef-4fda-a83d-f829c1cde6f5-1766037960424-7e63089daf00e45be33ea696b73bc31c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/18/5214edcb-1220-4ba2-a63c-48eefa664076-1766037962153-6d6f21238d6575cf16e70a4e6267444e.jpeg,,,,,,,,
