page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,Asep Sulaeman,29 Maret 2026,Trip Keluarga,"3,0",Kamar bersih dan segar. Staf resepsionis ramah.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/29/735e9c01-40c1-4eac-b32d-b58f82f88cc3-1774743339589-fb62451b10f4aebca37d9076e18b29b1.jpg,,,,,,,,,
1,2,II,27 Maret 2026,Trip Keluarga,"3,0",Lumayan nyaman untuk menginap disini,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/27/cc6a7067-db1b-4bbc-b4ec-7fe751872657-1774621056929-1e26f2ee99dd1f3fe09b2c9ea285c1f3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/27/45d85133-e9cb-4aaa-a66b-5752c981a8a6-1774621056954-aa0e366d13c208abc566d9075658f349.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/03/27/9fb1b9a3-3314-4d22-88c5-f30a27aada36-1774621054047-f10bcac98ed140e815ae4f1308c55eaa.jpg,,,,,,,
1,3,Tertawa Aprilia,21 Maret 2026,Trip Pasangan,"4,0",5x kesini baru kali ini kamar & toilet nya tidak wangi..,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/21/fdc9beda-c2a8-4fd8-b4b7-a689d7a5fe65-1774095902306-d68ec13daa1906b280a1b8b9aeea0518.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/21/1e9924e7-e631-4c5f-b150-fe907369a86e-1774095917350-ab2014451b6681e4eace6dedf7b22714.jpeg,,,,,,,,
1,4,Yepril Salim,17 Februari 2026,Trip Keluarga,"4,0",Kamar-kamarnya bersih dan rapi.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/02/17/10cd555f-653b-4eab-9982-f105e360c135-1771301631952-eaf39e06299a45b3d75d7ef3f62ecd29.jpg,,,,,,,,,
1,5,GC,19 Januari 2026,Perjalanan Sendirian,"5,0",Tersedia ruang keluarga pribadi. Tingkat kelezatan yang tinggi. Terjangkau dan mengesankan. Staf sangat ramah. Resepsionis profesional.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/01/19/580efd7c-2f1d-4007-b288-9d324ddef5b3-1768786675665-dfa95411564392f86bda8b8f18f9df8e.png,,,,,,,,,
2,1,Nuraeni Janati,31 Desember 2025,Trip Keluarga,"5,0",terimakasih fresh hotel sangat berkesan sekali,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/31/3854c717-18d2-4849-a3db-f7af9c5afad5-1767173798976-986a309b3cf9a16f8a770a06fdf33309.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/31/7bad17b0-375a-4454-83e8-b0e7487552b0-1767173802970-0b5ca71797ab2d972386efbb12a9a865.jpeg,,,,,,,,
2,2,Aditya Budiman,29 September 2025,Trip Keluarga,"5,0",Bagus Banget sangat ramah anak. Variasi rasa yang luar biasa.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/29/b1b58df8-c197-4776-acb2-157d27b51393-1759136746885-dcaf7e2e7ed7f86b71929853b3efe956.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/29/9d0ac2d3-b463-44e3-9d03-1e292505e2ee-1759136746923-6af5e5350a716b9fb52239af87ffffe0.jpeg,,,,,,,,
2,3,ARIPIN NURAMADAN,26 September 2025,Perjalanan Bisnis,"5,0",Suasana bersih terjaga. Area yang tenang dan damai.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/26/35a37457-d7ef-4bd7-9cc7-c7bd729eb45e-1758861866800-e80c5f560a0c8fa1ae1cbd716cbefda9.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/26/db553db8-3c8c-4718-8525-2e7971502fcf-1758861883296-941f9d368578e69d0fe3a74897df242c.jpeg,,,,,,,,
2,4,RP,22 September 2025,Trip Keluarga,"4,4",Secara keseluruhan direkomendasikan untuk perjalanan solo dan keluarga.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/22/12ad4dc8-25a6-4d36-b9c2-c7d639587fd5-1758502765812-4f4c8802b0ff994cfbb51e9dc660dcf5.jpg,,,,,,,,,
2,5,RP,16 September 2025,Trip Keluarga,"5,0",Hotel yang direkomendasikan. Tersedia area bebas rokok.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/16/df82e01d-d83d-4b58-b3fe-8e9438e42472-1758021279868-b84b31ccfddf7e440c999fae2c4647ac.jpg,,,,,,,,,
