page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,Tataf let,7 April 2026,Trip Keluarga,"4,0","Cukup baik, bersih cuman pintu kamar mandinya kurang terawat",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/04/07/ba62a911-121b-4d57-aef1-6814784be894-1775564318297-72037d7af7fd7086f7ddb5d7e1d0484c.jpg,,,,,,,,,
1,2,KP,19 Februari 2026,Trip Keluarga,"5,0",Saya dan Keluarga Senang Menginap di Hotel ini Semoga Bisa Kembali dan Liburan Lagi Family massage area.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/02/19/b46901dd-8288-48a8-837e-10bb4c558b33-1771434977733-9ec5335691c608834ecaaa0bf3cb978f.jpg,,,,,,,,,
1,3,Aji Mulyana,12 Januari 2026,Trip Keluarga,"5,0",Fasilitas kesehatan keluarga. Masakan yang menarik.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2026/01/12/ba311b30-18c1-4cd5-972f-f65fe9e9fccc-1768214377807-e3ac29a6c4624229aca63d713755ed29.jpg,,,,,,,,,
1,4,ADALAH,18 Desember 2025,Perjalanan Sendirian,"4,4",Memuaskan kan pelayananya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/18/c66a2cab-0005-4a47-a488-378db02576dd-1766011681905-25b608aa1cb8b1f65b1c431249b13879.jpg,,,,,,,,,
1,5,CR,17 Desember 2025,Perjalanan Bisnis,"1,0","kondisi kamar saat check in masih ada sampah dibawah tempat tidur, ada gelas bekas pakai yang belum di bereskan, minta ganti kamar tidak di perbolehkan, dan hanya di ganti sprei saja ga sesuai banget ...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/17/0c409bab-91f5-49f8-b2d4-edfd5ff812eb-1765937777221-76fa8bfdaf4dead92abab361a0e33533.jpeg,,,,,,,,,
2,1,IRMA ERVIANA,12 Desember 2025,Perjalanan Bisnis,"5,0",Menu sarapan bervariasi. Dekat dengan tempat hiburan.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/12/17907493-eac0-4c7f-84ae-872ceedd2ee4-1765554639172-ad1219f89e5cc0e444fc84b2456722ac.jpeg,,,,,,,,,
2,2,YAITU,12 Desember 2025,Perjalanan Bisnis,"5,0",Mantap Dekat dekat dri mall,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/12/12/e32a2c16-9438-4bbd-ac45-7c44ca08c1f2-1765554565308-1f257f86f0924c1b0e677c076fa3d4e2.jpeg,,,,,,,,,
2,3,Senja Maulina,17 November 2025,Trip Pasangan,"5,0","pelayanan nya sangat bagus , kamar nya bersih, sangat nyaman buat honeymoon aku dan suami",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/17/72a32fe5-7bad-4ccf-a3bf-e819b9b61ace-1763364653250-60e8a85cc9fb996b812d2ec8d5e20762.jpg,,,,,,,,,
2,4,IW,28 September 2025,Perjalanan Sendirian,"5,0","Murah dan menyenangkan, pelayanan terbaik.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/28/15bfc67c-e45f-4f4b-b604-72549f845e15-1759073964061-8b97435c942f187ed092dc5dafea8f4d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/28/dcd0b2b3-cfd7-4d03-915c-0763727abd54-1759073964521-906025824bbb8a4a0a8d2a4fde721e85.jpeg,,,,,,,,
2,5,Indra Septyadi,11 Juli 2025,Trip Keluarga,"4,0","Pada saat datang loket cek in yg buka cuma 2 dan itu bikin antrian super panjaaang, baru kali ini deh antri check in panjang kaya gini. Pas masuk kanar okelah buat harga segitu. Mngkin krna lagi rame ...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/11/e8ac7686-90f3-419b-9e18-dcf47c56012b-1752193816114-6bd989ccafcc6261b41c67f5fd632bd0.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/07/11/15060567-e5f9-47fa-924f-b86b236081b6-1752193814717-661b9a1a412fe91cb21eb99149c5532b.jpg,,,,,,,,
3,1,Amin Chen,9 Juli 2025,Trip Keluarga,"2,4","Nginap 2 hari , pesan 2 kamar Coneccting room and No smoking Floor. Hari pertama dapatnya Connecting room tapi Smooking Floor. Karna bawa anak dan baby jd cukup tidak nyaman di lantai smooking, kamar ...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/09/621b9609-6cbe-44f8-909b-32ac9267657e-1752029350036-cc3c69564eb4de3e615067158379679c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/09/1df77018-31bc-47c6-9d7c-048520f9f2ac-1752029352439-8e50d48612d07b98a896397e659f58cb.jpeg,,,,,,,,
3,2,ADALAH,3 Juli 2025,Trip Keluarga,"2,4","Resepsionis tdk sopan pas minta ktp sy,sy kasih ktp pakai tangan kanan dia ambil ktp sy pakai tangan kiri,satpam di lobby jg seperti patung td ada ekspresi sama sekali,tdk senyum dan tdk sapa diam saj...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/07/03/7661f664-3081-4d9e-9237-b1b77af3272f-1751503283209-1883b64b29f31d597788330cf9126554.jpeg,,,,,,,,,
3,3,Misjunaling Palayukan,3 Juli 2025,Trip Keluarga,"5,0",Layanan pembersihan harian.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/03/f64ee452-3e77-4011-a1d9-2db433dae46d-1751493750066-5cabda42239157f4c0032eeaed73d01d.jpg,,,,,,,,,
3,4,INDAH SURYANINGSIH,23 Juni 2025,Trip Keluarga,"3,6","Letak hotel strategis, nyambung mall, hotel yang cocok untuk istirahat bukan staycation, simple dan nyaman",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/23/a7be155f-409b-494d-85aa-ee3a18415f83-1750627009874-d4668ec3ce5673c64768fde25333184a.jpeg,,,,,,,,,
3,5,Fuji hidayanti,12 Juni 2025,Trip Keluarga,"5,0","Bagus sekali, sangat bagus",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/12/e3dcaf87-132f-4c33-94eb-b5066650593a-1749724793264-31c89c06e4d0e045e2a0f0d2da67025c.jpeg,,,,,,,,,
4,1,Garis Riska Agustina,27 Mei 2025,Trip Keluarga,"5,0","Mudik lebaran tahun 2025 tidur disini, dekat dgn transtudio",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/27/7c3ad596-dbb1-4f7c-8f8b-71ee82e6d799-1748347438601-356e2b23213ccb389877893dcc6ecc7f.jpg,,,,,,,,,
4,2,Rina Nurapriani,25 Mei 2025,Perjalanan Sendirian,"4,0",Banyak hantu tanpa kelapa hiii atut Excellent housekeeping.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/05/25/8e50b579-c43d-4a80-ab9d-da1c10b3b8b4-1748185571193-fcc4e39cce5d0101aa5c958132c382cc.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/05/25/e86f4700-0475-4435-ab9e-2d146fa984dd-1748185568586-f55f4636d4182fde5a07fcd46e6cdc81.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/25/404b314d-6bff-408a-a58f-5baf98668d1b-1748185562920-11d2435e5998477a28cbba8b8c9ec424.jpeg,,,,,,,
4,3,mahmudah hutagalung,20 Mei 2025,Trip Pasangan,"5,0","Kereeen, bersihhhhh, ramah"" dech pokoknya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/05/20/4eeaa6e0-ce51-471f-9438-439e597f0ccf-1747720796146-e82d61f5194efb6162ca36d11967bcd9.jpg,,,,,,,,,
4,4,Alien Lenda Swara,16 Mei 2025,Trip Keluarga,"4,2",Dekat dengan restoran. Suasana pinggiran kota yang tenang.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/05/16/0ad45372-9914-4076-9493-203171555d1e-1747347574520-ef9a1b7ca47ec105442fa84e44c3303c.jpg,,,,,,,,,
4,5,RK,13 Mei 2025,Trip Keluarga,"5,0",Mantap semoga terus ditingkatkan pelayanan kebersihan dan keramahan staf sehingga pelanggan akan terus datang dan menambah keuntungan owner,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/2073be4c-6fba-400c-993f-43e4f684c856-1747095387889-b5208d2d1bff259221eb8ab0fed7b9b3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/6ae8e78c-545f-4fe4-b720-b37ed1ee7c38-1747095387934-2e85646a8c5f8035318fcca823bf5a27.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/3302b95b-a392-4449-a988-9e347da93de3-1747095387988-26feba66395844c744b2fe04396aa648.jpg,,,,,,,
5,1,Rizqy Mukhlis Khoiruddin,13 Mei 2025,Trip Keluarga,"5,0",Mantap semoga terus ditingkatkan pelayanan kebersihan dan keramahan staf sehingga pelanggan akan terus datang dan menambah keuntungan owner,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/2690c063-8ceb-49ee-bcee-04afa55f81de-1747095369530-837b64222a1ef3a05a58ac3740046f85.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/1c99caae-4a86-40dd-86d5-e561fd9c1138-1747095369364-5919dc01c1b6751ad3a4ab34c77b354c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/f35e9803-d4b3-448a-a368-4f40936f2452-1747095369592-813282f74c61535949380fe3f1f486e1.jpg,,,,,,,
5,2,RK,13 Mei 2025,Trip Keluarga,"5,0",Mantap semoga terus ditingkatkan pelayanan kebersihan dan keramahan staf sehingga pelanggan akan terus datang dan menambah keuntungan owner,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/b6838c71-7ba4-4769-8046-edfe303581ae-1747095353570-80ff3d56dcb41517c04b20777ef6d7c3.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/b4016f2c-2237-4357-ad79-d483c80880b7-1747095353636-9338801e75be18226e94eb8819307b48.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/05/13/13347c1b-9c83-4d2f-8f55-2b9805c839d4-1747095353665-cd30631c4654c258322e4412542573b4.jpg,,,,,,,
