page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,JIKA,14 Desember 2025,Trip Keluarga,"5,0","Lokasinya strategis, nyebrang langsung ke bumi upi. Kamarnya cukup oke, request connection room dan bisa",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/12/14/e2c04e64-4d10-4ffa-a366-3454a392f97d-1765722340510-376279d5679b7b8cec862a9fc2b5ae6f.jpg,,,,,,,,,
1,2,DARI,14 Oktober 2025,Trip Keluarga,"5,0","Saya sangat terkejut — ada sajadah dan Al-Quran yang sudah disiapkan di kamar! Proses check-in sangat mudah. ​​Staf dan petugasnya ramah. Kamarnya nyaman, bersih, dan rapi. Kolam renangnya... Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/10/14/085a16ad-687a-4886-9705-aed9a50960a7-1760404713237-54be62761b7a353699fc993d788cfe96.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/10/14/394a88cb-c790-4d10-92e8-3ab3de755cfb-1760404712397-aa0e7a715fdf3dd90477fff4aa8c2d38.jpg,,,,,,,,
1,3,Danny A Lapian,21 Agustus 2025,Trip bareng Teman,"4,2","Hotel bersih, view dari kamar pegunungan apalagi kalo naik ke roof top....bisa lihat Garut 360° samping kiri n kanan serta depan hotel bnyk hiburan dan resto sesuai selera twrutama resto Bumi Upi (mkn...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/15/d571b976-24a0-4b9d-b149-e7bc127cedd5-1755223252006-54fcaf70b3916ed6004ea4c145b37ac0.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/15/8b8168dd-07b3-416a-9a1a-6aa6ff56b4e9-1755223252236-fe483d440ec994313c893beb90fabaf4.jpg,,,,,,,,
1,4,A A,13 Agustus 2025,Trip bareng Teman,"5,0","Nyaman dan bersih, dekat dari jalan mau cari makan mudah",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/13/0fb37751-e4a0-4dc8-aeec-38630ec93e5d-1755092755585-7ac7e5588c8a32adfadc396fe8317aa3.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/13/c162f4bc-2854-4870-a304-b4cf9361c84e-1755092755713-ac5d83685011e7821f01a432d9c93410.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/13/7e8006e3-ab34-430b-965c-4fadd39ad02e-1755092756857-a98764d75803df66d2ed49785ac6f5cd.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/13/2fba12a3-3ef4-4422-9cfc-8186fa57af40-1755092754383-6f510bc6bf178499e434177dba46cbdc.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/13/6233f40f-de32-4dc1-826c-7ee218fe0c63-1755092753998-3cf733490917e6b8b9a17d881457cfe8.jpeg,,,,,
1,5,Rijzin Septiawan,3 Agustus 2025,Trip Keluarga,"5,0","Kamar hotel yang nyaman dan luas. Hotelnya bersih, sarapannya enak dan juga staffnya ramah semua. Mantapppp fave hotel cimanuk garut",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/03/e8650346-b699-4a3e-b86c-95688cc8211f-1754215341450-6b2843733907aa2d96c9520a986cc749.jpg,,,,,,,,,
2,1,pada,11 April 2025,Trip Keluarga,"3,6","Aksesnya mudah, harga terjangkau, fasilitas oke",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/11/a4720907-26e1-4f85-abee-7732f1d5d665-1744334103536-bf72a2bc0214ff8d6e7f43a1f90d6f1e.jpg,,,,,,,,,
2,2,Johan Fredy Endra,27 Maret 2025,Perjalanan Bisnis,"3,0",Biar gambar yang menilai ya..... ini bkn hanya di kloset tp wastafel dan shower d pagi hari saat mau buru2 kerja dan alhasil ga mandi,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/03/27/39ca6c48-acf7-41ec-b3c9-fd32aac19281-1743038915726-11449d349595a8c2328691376adebce2.jpg,,,,,,,,,
2,3,MATAHARI,31 Januari 2025,Trip Keluarga,"5,0","pelayanannya oke, sraff ramah. nyaman nginep disini, kolam renangnya air dingin. so so lah",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/31/7a24a054-1a9a-4637-af33-e6de45f84ba1-1738311774167-539356d6917be5dbca9b91d445b4e88f.jpg,,,,,,,,,
2,4,DENGAN,30 Januari 2025,Trip Keluarga,"5,0","Nginep di Favehotel pas long weekend Imlek, dapet rate 726K/malam termasuk sarapan. Lokasinya strategis banget, di sebelah ada Chocodot dan kafe, di seberang juga ada resto yang cukup rame. Kamarnya b...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/30/b3006a0d-889f-4ccd-a755-efbcaa3940be-1738236037828-21cefb969a8d58d0e0b93a52655196ec.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/30/cbfcdbc0-61df-49f9-af93-aa2c842c640b-1738236036024-0939f397527fc605086d4c79cc740ee8.jpeg,,,,,,,,
2,5,AH,29 Januari 2025,Perjalanan Sendirian,"5,0","Selalu puas nginap disini, thank Tiket.Com",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/29/d926bab7-7894-4446-a4f7-832130e663ef-1738137150057-969dcbe7935c9871464d37b2dc8d2950.jpg,,,,,,,,,
