page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,1,NS,5 Oktober 2025,Perjalanan Sendirian,"5,0",Suasana tenang.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/10/05/810c26d9-7c68-41ce-8fd1-511aa3804f24-1759620073014-090af303cc312221062b079b054b46ac.jpeg,,,,,,,,,
1,2,BUKAN,20 April 2025,Trip Keluarga,"4,6","Sesuai request, pelayanannya bagus banget, makanannya enak-enak. Rekomended pokoknya👍🏻",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/20/92459853-89c3-476b-a3cd-50ac42477a9a-1745153291849-8e885ab5814168fc787ec9934bd3aa3f.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/20/cfd3c5ff-0f05-444f-805a-71e55b96b825-1745153388119-54564824a3d76ce7ffba2f1e60b1f065.jpeg,,,,,,,,
1,3,Shanti Mariani,13 April 2025,Trip Keluarga,"5,0",Semua ok..tmpt breakfast aja kurang besar,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/04/13/70527c36-f139-4dd3-8ccf-96d6f0d643a5-1744556176255-607f2040bea15f55b276dd95d7515cfe.jpg,,,,,,,,,
1,4,Rie Rie,8 Januari 2025,Trip Keluarga,"5,0","Satpam ramah semua ramah, hotel bersih nyaman",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/c797f3c2-b08e-4564-8322-880c5eb984e2-1736313716883-6b0dd6e01e846f2e1dbcd4cac4de333a.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/01/08/72626a14-eebf-4a21-bf20-0c4a377723e0-1736313728159-a7bd582ba1168b105bb3766f52fa209d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/b816f88f-24c7-4166-9e6f-227256eb820b-1736313728012-cfef4f7f5809cd3c9d30d315645b4d38.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/ad516cb8-306b-4398-8d68-4b0fd9680ffa-1736313715483-83e2ae03457b874d79c21553c5c17d42.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/13c5d30a-ac9e-4e6b-90af-16ba1f6f7656-1736313721912-2f2e513a63a25b5b5d34fe42d609ece7.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/d1a11cb3-1a89-488a-b62e-90ed531ba71f-1736313728610-d10e3adf88501458c02d16aa1782fd06.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/01/08/8579606d-3df0-41e1-87d4-c461ce400f1c-1736313717058-2d9a8f01ed1f70fd0b418f57cac04f03.jpeg,,,
1,5,Lily Situmorang,21 November 2024,Trip Keluarga,"5,0","kolam renang anak dekat dengan kamar, jadi bisa langsung cusssss..mantau nya deket. pelayanan sangat puas.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/21/a0f02e67-0d41-40bf-9ca6-722af56cd36b-1732164261276-0a11b7de2958c854b9ce03aacbda8e55.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/21/5cad1814-c1e8-4dbc-a716-52702a3ed53e-1732164260295-0e1d99c378eab68df8ce21c405d12b37.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/21/70050b86-150b-429c-8b8e-f3884b95b2b9-1732164260028-6c0b1721c0fa8eac6513dfd9c7b1ed7d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/21/ea4db9fc-b851-48de-93ff-004a0176e824-1732164360815-1ea1969e7596287a5527004992ffa776.jpg,,,,,,
2,1,DP,16 November 2024,Trip Keluarga,"5,0","Nyaman, akan kembali lagi karena kids friendly",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/11/16/00dfaa92-1426-464d-be94-18b4073485bd-1731771123300-dcdb409047c7fc4539ca17a64670a49c.jpg,,,,,,,,,
2,2,SP,14 September 2024,Trip Keluarga,"1,0",Dapet kamar yang ga banget. Masih mending hotel hotel murah tp dapet pemandangan luar ini sama sekali g enak sumpek. Mana punya anak kecil. G worth it. Pengalaman bgt g balik lg deh. Dr luar keliatan ...Selengkapnya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/09/14/5ecba125-2597-41d8-b3b2-cce87531db50-1726278485036-7230f0d53d346732b4231e874dbf5083.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/09/14/029fefef-0527-4ff9-b45d-f879d910545d-1726278487831-caa7886c90624d3d924d727057c3413e.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/09/14/6afbd5f7-85d0-410b-a26f-e31d3c3f4b9e-1726278487569-bd3b7eac5b816134ac25b0d1c5c98ec9.jpeg,,,,,,,
2,3,Annisa Utami Luthfi,6 Juni 2024,Trip Keluarga,"5,0","Gak pernah kecewa nginep di hotel ini. Hotel persis depan pantai, ada kolam renang jd anak2 happy bs berenang stelah mantai, sarapannya juga enak.",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/06/06/e999d059-994b-4374-975a-a5b90fe3d2f0-1717629010301-c30d932bd2eb8809b6d30b9aab411c63.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/06/06/4a1d83bf-2853-4917-a49c-3962278e01b3-1717629007870-7bdaa6603a0319a4ec5f1a3826655d07.jpeg,,,,,,,,
2,4,Annisa Utami Luthfi,6 Juni 2024,Trip Keluarga,"5,0","Dari thn 2010 sampe skrg gak pernah mau pindah hotel selain surken. Lokasinya pas bgt depan pantai, staff hotel ramah semua. Vibe hotelnya sih JUARA!! apalagi mlm nongkrong di dpn kolam renang, syahdu...Selengkapnya",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/06/06/090d8113-eb24-4835-b1a3-d2fd673d2656-1717628749109-c7f3fdfbb4e1d65cd51250d385d28b19.jpeg,,,,,,,,,
2,5,Indra Nastiti,7 Mei 2024,Trip Keluarga,"4,0",Nyaman..adem..bersih..staff ramah..security very helfful sangat ramah always smile...fasilitas kamar sangat baik..respont staff cepat..sarapan standar...kolam renang sangat memuaskan..pemandangan see ...Selengkapnya,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/05/07/24ddd4be-238a-4cc7-8e44-ee900e622b3a-1715061535454-e5fbe116e55cdd2776da6ae82a3cfff8.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/05/07/9763a7f2-b793-4d8d-abcc-0ec383b4912a-1715061483108-27756abf34fe1ccd452d31cd82ff5cea.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/05/07/14a3c42a-150f-42e5-962a-371809a4c371-1715061564961-5b5ea8de843609b03aa66fa05ab7f9e9.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2024/05/07/ac05f476-4082-412d-8b7b-d33a0828ea6a-1715061610678-34ce6f7d9665c78d3569c76621e1d4c6.jpg,,,,,,
